Entry ID,Contest Name,QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DST,Total Salary,Projected Points
Entry_1,NFL Week 1 GPP,Dak Prescott,Christian McCaffrey,Saquon Barkley,Tyreek Hill,CeeDee Lamb,A.J. Brown,George Kittle,Josh Jacobs,Bills DST,49900,162.85580048086072
Entry_2,NFL Week 1 GPP,Russell Wilson,Christian McCaffrey,Saquon Barkley,Tyreek Hill,DK Metcalf,Ja'Marr Chase,Travis Kelce,Derrick Henry,Ravens DST,50000,161.45210995953573
Entry_3,NFL Week 1 GPP,Russell Wilson,Christian McCaffrey,Saquon Barkley,Davante Adams,Tyreek Hill,Cooper Kupp,Travis Kelce,Derrick Henry,Ravens DST,50000,161.90283348874632
Entry_4,NFL Week 1 GPP,Russell Wilson,Christian McCaffrey,Saquon Barkley,Davante Adams,CeeDee Lamb,Cooper Kupp,Travis Kelce,Derrick Henry,Bills DST,50000,162.28058456304913
Entry_5,NFL Week 1 GPP,Russell Wilson,Christian McCaffrey,Saquon Barkley,Davante Adams,Chris Godwin,A.J. Brown,Travis Kelce,Derrick Henry,Bills DST,50000,162.7745345481211
Entry_6,NFL Week 1 GPP,Dak Prescott,Christian McCaffrey,Saquon Barkley,A.J. Brown,Cooper Kupp,Ja'Marr Chase,Travis Kelce,Derrick Henry,Bills DST,49900,161.68470132340408
Entry_7,NFL Week 1 GPP,Russell Wilson,Christian McCaffrey,Saquon Barkley,Davante Adams,A.J. Brown,DK Metcalf,Travis Kelce,Derrick Henry,Bills DST,49800,161.54241114405707
Entry_8,NFL Week 1 GPP,Dak Prescott,Christian McCaffrey,Saquon Barkley,Tyreek Hill,A.J. Brown,Cooper Kupp,Travis Kelce,Derrick Henry,Bills DST,49900,161.16259578150698
Entry_9,NFL Week 1 GPP,Russell Wilson,Christian McCaffrey,Saquon Barkley,CeeDee Lamb,DK Metcalf,Ja'Marr Chase,Travis Kelce,Derrick Henry,Bills DST,50000,161.31518311877096
Entry_10,NFL Week 1 GPP,Dak Prescott,Christian McCaffrey,Saquon Barkley,CeeDee Lamb,A.J. Brown,Cooper Kupp,Travis Kelce,Josh Jacobs,Bills DST,49900,161.95797577045616
Entry_11,NFL Week 1 GPP,Russell Wilson,Christian McCaffrey,Saquon Barkley,Tyreek Hill,CeeDee Lamb,DK Metcalf,Travis Kelce,Derrick Henry,Bills DST,50000,162.28657438655085
Entry_12,NFL Week 1 GPP,Dak Prescott,Christian McCaffrey,Saquon Barkley,Mike Evans,CeeDee Lamb,Cooper Kupp,Travis Kelce,Derrick Henry,Bills DST,49900,161.44906267248834
Entry_13,NFL Week 1 GPP,Dak Prescott,Christian McCaffrey,Saquon Barkley,CeeDee Lamb,A.J. Brown,DK Metcalf,Travis Kelce,Derrick Henry,Bills DST,49900,162.94402096683854
Entry_14,NFL Week 1 GPP,Dak Prescott,Christian McCaffrey,Saquon Barkley,Davante Adams,A.J. Brown,Ja'Marr Chase,George Kittle,Derrick Henry,Ravens DST,49900,162.5540701919765
Entry_15,NFL Week 1 GPP,Russell Wilson,Christian McCaffrey,Saquon Barkley,Stefon Diggs,Tyreek Hill,A.J. Brown,George Kittle,Derrick Henry,Bills DST,50000,160.21029669145867
